case_id,sample_universe,report_id,phase,standard_id,disclosure_id,material_topic,requirement_id,occurrence_idx,a0_status_resolved,a0_decision_path,a0_rationale,a0_citations_json,a1_status_resolved,a1_decision_path,a1_rationale,a1_citations_json,a2_status_resolved,a2_decision_path,a2_rationale,a2_citations_json,v_new_status_resolved,v_new_decision_path,v_new_rationale,v_new_citations_json,disagreement_meta
D032,disagreement,Bangchak2025,phase5,GRI 3,3-3,Land and Resouce Rights,e.iii,0,partial,standard,"States 'no complaints regarding land acquisition', but does not evaluate progress toward specific goals related to 'Land and Resource Rights'.","[""Bangchak2025__c_0360""]",partial,standard,"States no complaints about land acquisition (chunk 0360), but does not report progress toward specific goals or targets for 'Land and Resource Rights'.","[""Bangchak2025__c_0360"", ""Bangchak2025__c_0352"", ""Bangchak2025__c_0347"", ""Bangchak2025__c_0350"", ""Bangchak2025__c_0348""]",no_evidence,standard,No progress toward goals or targets for 'Land and Resource Rights' is reported. The absence of complaints is noted but does not address effectiveness tracking.,"[""Bangchak2025__c_0343"", ""Bangchak2025__c_0347"", ""Bangchak2025__c_0350"", ""Bangchak2025__c_0360"", ""Bangchak2025__c_0362""]",no_evidence,standard,No explicit evaluation of effectiveness or progress toward goals for 'Land and Resource Rights'.,"[""Bangchak2025__c_0360""]",2v2
D033,disagreement,OKQ82024,phase5,GRI 3,3-3,Anti-competitive behavior,e.iv,0,no_evidence,standard,No evidence describes lessons learned or policy updates related to anti-competitive behavior.,"[""OKQ82024__c_0113"", ""OKQ82024__c_0117"", ""OKQ82024__c_0118"", ""OKQ82024__c_0122"", ""OKQ82024__c_0123""]",no_evidence,standard,No lessons learned or policy updates related to anti-competitive behavior are described.,"[""OKQ82024__c_0113"", ""OKQ82024__c_0117"", ""OKQ82024__c_0118"", ""OKQ82024__c_0122"", ""OKQ82024__c_0125""]",partial,standard,Mentions continuous skill development but lacks explicit lessons learned or policy updates related to anti-competitive behavior.,"[""OKQ82024__c_0118"", ""OKQ82024__c_0122""]",no_evidence,standard,No evidence explicitly describes lessons learned or policy updates related to 'Anti-competitive behavior'.,"[""OKQ82024__c_0113"", ""OKQ82024__c_0117"", ""OKQ82024__c_0118"", ""OKQ82024__c_0122"", ""OKQ82024__c_0125""]",1v3
D034,disagreement,HPCL2023,phase5,GRI 3,3-3,Human Rights (GRI OGSS Topic: Non-discrimination and Equal Opportunity),d.iii,0,no_evidence,standard,"No actions to manage positive human rights impacts are described. Evidence focuses on prevention, not positive outcomes for non-discrimination.","[""HPCL2023__c_0105"", ""HPCL2023__c_0106""]",no_evidence,standard,No explicit mention of managing positive human rights impacts.,[],no_evidence,standard,No actions to manage positive human rights impacts are described. Evidence mentions shared value but not human rights benefits.,"[""HPCL2023__c_0106""]",no_evidence,standard,No actions to manage positive human rights impacts are described. Evidence mentions shared value but not human rights benefits.,"[""HPCL2023__c_0106"", ""HPCL2023__c_0107""]",all_agree
D035,disagreement,OKQ82023,phase5,GRI 3,3-3,Freedom of association and collective bargaining,e.ii,0,no_evidence,standard,"No evidence mentions goals, targets, or indicators tied to 'Freedom of association and collective bargaining'. General sustainability targets are discussed but not specific to the topic.","[""OKQ82023__c_0073"", ""OKQ82023__c_0074"", ""OKQ82023__c_0089"", ""OKQ82023__c_0095"", ""OKQ82023__c_0098""]",no_evidence,standard,"No goals, targets, or indicators specific to freedom of association and collective bargaining are reported.",[],no_evidence,standard,"No goals, targets, or indicators for evaluating progress on 'Freedom of association and collective bargaining' are reported.","[""OKQ82023__c_0073""]",no_evidence,standard,"No goals, targets, or indicators for evaluating progress on 'Freedom of association and collective bargaining' are reported.","[""OKQ82023__c_0073"", ""OKQ82023__c_0074"", ""OKQ82023__c_0093"", ""OKQ82023__c_0097"", ""OKQ82023__c_0099""]",all_agree
D036,disagreement,Energean2024,phase5,GRI 3,3-3,Water and marine resources,a,0,no_evidence,standard,"No explicit description of actual/potential impacts on economy/environment/people, including human rights, for water and marine resources.","[""Energean2024__c_0156"", ""Energean2024__c_0157"", ""Energean2024__c_0158"", ""Energean2024__c_0159""]",no_evidence,standard,No explicit description of impacts on human rights or economy/environment/people for 'Water and marine resources'.,"[""Energean2024__c_0156"", ""Energean2024__c_0157"", ""Energean2024__c_0158"", ""Energean2024__c_0159""]",no_evidence,standard,"No explicit description of impacts on economy, environment, or people related to water and marine resources.",[],no_evidence,standard,"No evidence describes impacts on economy, environment, people, or human rights for water and marine resources.",[],all_agree
D037,disagreement,OKQ82023,phase5,GRI 3,3-3,Energy,a,0,no_evidence,standard,"No explicit description of economic, environmental, or human rights impacts related to Energy.","[""OKQ82023__c_0041"", ""OKQ82023__c_0042"", ""OKQ82023__c_0043"", ""OKQ82023__c_0045"", ""OKQ82023__c_0065""]",no_evidence,standard,"No explicit description of economic, social, or human rights impacts related to Energy.",[],no_evidence,standard,No explicit description of actual/potential impacts on economy/environment/people related to Energy.,[],no_evidence,standard,No evidence describes impacts (positive/negative) on economy/environment/people related to Energy.,[],all_agree
D038,disagreement,Mubadala2024,phase5,GRI 3,3-3,Employment Practices,d.iii,0,pass,standard,"Describes actions to manage positive impacts (e.g., wellness programs, training, employee engagement initiatives).","[""Mubadala2024__c_0085"", ""Mubadala2024__c_0086"", ""Mubadala2024__c_0088"", ""Mubadala2024__c_0089"", ""Mubadala2024__c_0090""]",pass,standard,"Positive impacts managed via wellness programs, team-building, and employee engagement initiatives.","[""Mubadala2024__c_0085"", ""Mubadala2024__c_0086"", ""Mubadala2024__c_0088""]",pass,standard,"Actions to manage positive impacts (e.g., wellness programs, DE&I initiatives) are described.","[""Mubadala2024__c_0085"", ""Mubadala2024__c_0089""]",partial,standard,"Wellness programs and DE&I initiatives suggest managing positive impacts, but lack explicit focus on maximizing benefits.","[""Mubadala2024__c_0085"", ""Mubadala2024__c_0089""]",1v3
D039,disagreement,Bapco2024,phase5,GRI 3,3-3,"Health, safety and well-being",e.ii,0,no_evidence,standard,"No specific goals, targets, or indicators for evaluating progress on 'Health, safety and well-being' are explicitly reported.","[""Bapco2024__c_0061"", ""Bapco2024__c_0064"", ""Bapco2024__c_0066""]",partial,standard,"Mentions IOGP standards and 100% coverage but lacks explicit goals/targets for 'Health, safety and well-being'.","[""Bapco2024__c_0061""]",no_evidence,standard,"No specific goals, targets, or indicators for evaluating progress are reported.",[],no_evidence,standard,"No specific goals, targets, or indicators are explicitly reported.",[],1v3
D040,disagreement,Bunduq2023,phase5,GRI 3,3-3,Spills,c,0,pass,standard,Describes policies like safety protocols and environmental stewardship related to spills.,"[""Bunduq2023__c_0060"", ""Bunduq2023__c_0061""]",pass,standard,Policies on safety protocols and spill prevention systems are explicitly described.,"[""Bunduq2023__c_0060"", ""Bunduq2023__c_0061""]",pass,standard,Commitment to sustainability and environmental stewardship explicitly stated.,"[""Bunduq2023__c_0060"", ""Bunduq2023__c_0061""]",pass,standard,Policies (safety protocols) related to spill prevention are described.,"[""Bunduq2023__c_0061"", ""Bunduq2023__c_0060""]",all_agree
D041,disagreement,Mubadala2023,phase5,GRI 3,3-3,Diversity & Inclusion,d.i,0,pass,standard,Actions like zero-tolerance policies and parental leave mitigate potential negative impacts.,"[""Mubadala2023__c_0083""]",pass,standard,Describes actions to prevent discrimination and provide parental leave as mitigation measures.,"[""Mubadala2023__c_0083""]",pass,standard,"Describes actions to prevent discrimination/harassment and promote inclusion (e.g., zero-tolerance policy, parental leave).","[""Mubadala2023__c_0083"", ""Mubadala2023__c_0084""]",partial,standard,Mentions sponsorship of events promoting diversity but lacks explicit focus on preventing/mitigating negative impacts.,"[""Mubadala2023__c_0084""]",1v3
