case_id,sample_universe,report_id,phase,standard_id,disclosure_id,material_topic,requirement_id,occurrence_idx,consensus_status,a0_status_resolved,a0_decision_path,a0_rationale,a0_citations_json,a1_status_resolved,a1_decision_path,a1_rationale,a1_citations_json,a2_status_resolved,a2_decision_path,a2_rationale,a2_citations_json,v_new_status_resolved,v_new_decision_path,v_new_rationale,v_new_citations_json,disagreement_meta
A011,agreement,Bapco2023,phase5,GRI 3,3-3,Risk & Crisis Management,f,0,no_evidence,partial,standard,Mentions stakeholder engagement via risk workshops but lacks explicit linkage to informing actions or evaluating effectiveness.,"[""Bapco2023__c_0097""]",partial,standard,Mentions stakeholder engagement via risk workshops but lacks explicit linkage to informing actions or evaluating effectiveness.,"[""Bapco2023__c_0097""]",no_evidence,standard,No mention of stakeholder engagement informing actions or effectiveness tracking for Risk & Crisis Management.,"[""Bapco2023__c_0097""]",no_evidence,standard,No mention of stakeholder engagement informing actions or effectiveness tracking for Risk & Crisis Management.,"[""Bapco2023__c_0097""]",2v2
A012,agreement,Bapco2024,phase5,GRI 3,3-3,"Diversity, Inclusion & Equal Opportunity",e.i,0,no_evidence,no_evidence,standard,"No evidence explicitly describes processes used to track effectiveness of actions related to 'Diversity, Inclusion & Equal Opportunity'.","[""Bapco2024__c_0046"", ""Bapco2024__c_0057"", ""Bapco2024__c_0058"", ""Bapco2024__c_0059"", ""Bapco2024__c_0060""]",no_evidence,standard,No explicit description of processes used to track effectiveness of actions related to the topic.,"[""Bapco2024__c_0058""]",no_evidence,standard,"No description of processes used to track effectiveness of actions related to 'Diversity, Inclusion & Equal Opportunity'.","[""Bapco2024__c_0046"", ""Bapco2024__c_0057"", ""Bapco2024__c_0058"", ""Bapco2024__c_0059"", ""Bapco2024__c_0060""]",no_evidence,standard,No evidence explicitly describes processes used to track effectiveness of actions for the topic.,"[""Bapco2024__c_0058""]",all_agree
A013,agreement,Bunduq2023,phase5,GRI 3,3-3,Waste Management,e.iv,0,no_evidence,no_evidence,standard,No mention of lessons learned or policy updates related to waste management.,[],no_evidence,standard,No mention of lessons learned or policy updates related to waste management.,[],no_evidence,standard,No mention of lessons learned or policy updates based on waste management outcomes.,[],no_evidence,standard,No mention of lessons learned or policy updates related to waste management.,[],all_agree
A014,agreement,Bapco2023,phase5,GRI 3,3-2,__none__,b,0,no_evidence,no_evidence,standard,No evidence of changes to material topics compared to the previous reporting period.,"[""Bapco2023__c_0024""]",no_evidence,standard,No information is provided about changes to the list of material topics compared to the previous reporting period.,[],no_evidence,standard,No explicit mention of changes to material topics compared to prior reporting periods.,[],no_evidence,standard,No explicit mention of changes to material topics compared to prior reporting periods.,[],all_agree
A015,agreement,HPCL2024,phase5,GRI 3,3-3,Diversity & Inclusion (GRI OGSS Topic: Local Communities),f,0,partial,partial,standard,Evidence describes stakeholder engagement processes but lacks explicit linkage to Diversity & Inclusion topic's effectiveness evaluation.,"[""HPCL2024__c_0095"", ""HPCL2024__c_0096""]",partial,standard,Evidence describes stakeholder engagement processes but lacks explicit linkage to Diversity & Inclusion topic's effectiveness evaluation.,"[""HPCL2024__c_0095"", ""HPCL2024__c_0096""]",no_evidence,standard,Evidence discusses stakeholder engagement processes but does not explicitly link them to informing actions or evaluating their effectiveness for Diversity & Inclusion.,"[""HPCL2024__c_0095"", ""HPCL2024__c_0096""]",no_evidence,standard,Evidence discusses stakeholder engagement processes but does not explicitly link them to informing actions or evaluating their effectiveness for Diversity & Inclusion.,"[""HPCL2024__c_0095"", ""HPCL2024__c_0096""]",2v2
A016,agreement,Bunduq2023,phase5,GRI 3,3-3,Asset Integrity and Process Safety,d.i,0,pass,pass,standard,"Details RBI, monitoring, and protocols to prevent potential negative impacts.","[""Bunduq2023__c_0071"", ""Bunduq2023__c_0072""]",pass,standard,"Details RBI, monitoring, and protocols to prevent potential negative impacts.","[""Bunduq2023__c_0071"", ""Bunduq2023__c_0072""]",pass,standard,"Details RBI, monitoring, and remedial strategies to prevent negative impacts.","[""Bunduq2023__c_0071"", ""Bunduq2023__c_0072""]",pass,standard,"Details RBI, monitoring, and remedial strategies to prevent negative impacts.","[""Bunduq2023__c_0071"", ""Bunduq2023__c_0072""]",all_agree
A017,agreement,Bangchak2025,phase5,GRI 3,3-2,__none__,b,0,pass,pass,standard,"The report states operational-level topics are 'consistent with those in 2024,' explicitly reporting no changes to the list compared to the previous period.","[""Bangchak2025__c_0081""]",pass,standard,"The report states operational-level topics are 'consistent with those in 2024,' explicitly reporting no changes to the list compared to the previous period.","[""Bangchak2025__c_0081""]",pass,standard,"Chunk states operational topics are 'consistent with those in 2024,' explicitly reporting no changes to the list.","[""Bangchak2025__c_0081""]",pass,standard,"Chunk states operational topics are 'consistent with those in 2024,' explicitly reporting no changes to the list.","[""Bangchak2025__c_0081""]",all_agree
A018,agreement,Mubadala2024,phase5,GRI 3,3-3,Responsible Procurement,d.i,0,pass,pass,standard,"Actions include due diligence, sustainability criteria in supplier evaluations, and collaboration with suppliers to embed ESG principles.","[""Mubadala2024__c_0132"", ""Mubadala2024__c_0133"", ""Mubadala2024__c_0135"", ""Mubadala2024__c_0136""]",pass,standard,"Actions like co-development workshops and tiered supplier engagement are described (chunks 0133, 0135).","[""Mubadala2024__c_0133"", ""Mubadala2024__c_0135""]",pass,standard,"Describes actions like due diligence, supplier compliance checks, and policy alignment to prevent negative impacts.","[""Mubadala2024__c_0132"", ""Mubadala2024__c_0133"", ""Mubadala2024__c_0135"", ""Mubadala2024__c_0136"", ""Mubadala2024__c_0137""]",pass,standard,"Actions like audits, compliance checks, and due diligence are described to prevent negative impacts.","[""Mubadala2024__c_0132"", ""Mubadala2024__c_0135""]",all_agree
A019,agreement,Bunduq2023,phase5,GRI 3,3-3,Sustainable Procurement,c,0,pass,pass,standard,"Describes local procurement policies, HSE requirements, cybersecurity standards, and the Tender Committee's role.","[""Bunduq2023__c_0116""]",pass,standard,"Policies on local procurement, HSE requirements, supplier classification, and Tender Committee oversight are explicitly described.","[""Bunduq2023__c_0116""]",pass,standard,"Policies on local procurement, HSE screening, and vendor risk management are explicitly described.","[""Bunduq2023__c_0116""]",pass,standard,"Policies on local procurement, HSE screening, and vendor risk management are explicitly described.","[""Bunduq2023__c_0116""]",all_agree
A020,agreement,Mubadala2023,phase5,GRI 3,3-2,__none__,a,0,pass,pass,standard,"Material topics are explicitly listed (e.g., climate change, governance) in chunk 0044.","[""Mubadala2023__c_0044""]",pass,standard,"Material topics (climate change, governance, etc.) are explicitly listed in chunk 0044.","[""Mubadala2023__c_0044""]",pass,standard,"Material topics are explicitly listed (e.g., climate change, governance) in chunks 0042, 0044, 0045.","[""Mubadala2023__c_0042"", ""Mubadala2023__c_0044"", ""Mubadala2023__c_0045""]",pass,standard,"Material topics are explicitly listed (climate change, governance, etc.) in chunk 0044 and referenced in chunk 0042.","[""Mubadala2023__c_0042"", ""Mubadala2023__c_0044"", ""Mubadala2023__c_0040"", ""Mubadala2023__c_0043"", ""Mubadala2023__c_0045""]",all_agree
A021,agreement,HPCL2024,phase6,GRI 201: Economic Performance 2016,201-1,"Business Ethics, Transparency & Regulatory Compliance (GRI OGSS Topic: Economic Impacts)",a.ii,0,no_evidence,no_evidence,standard,"No explicit reporting of operating costs, wages, capital payments, or government payments.","[""HPCL2024__c_0366"", ""HPCL2024__c_0367"", ""HPCL2024__c_0368""]",no_evidence,standard,"No explicit reporting of operating costs, wages, capital payments, or government payments.","[""HPCL2024__c_0366"", ""HPCL2024__c_0367"", ""HPCL2024__c_0368""]",no_evidence,standard,"No breakdown of operating costs, wages, or payments to government by country.","[""HPCL2024__c_0366"", ""HPCL2024__c_0367"", ""HPCL2024__c_0368""]",no_evidence,standard,"No breakdown of operating costs, wages, or payments to government by country.","[""HPCL2024__c_0366"", ""HPCL2024__c_0367"", ""HPCL2024__c_0368""]",all_agree
A022,agreement,OKQ82024,phase6,GRI 306: Waste 2020,306-5,Waste,b.ii,0,no_evidence,no_evidence,standard,No evidence breaks down hazardous waste disposal by incineration without energy recovery.,"[""OKQ82024__c_0150"", ""OKQ82024__c_0151""]",no_evidence,standard,No evidence breaks down hazardous waste disposal by incineration without energy recovery.,"[""OKQ82024__c_0150"", ""OKQ82024__c_0151""]",no_evidence,standard,No evidence details hazardous waste disposal by incineration methods.,"[""OKQ82024__c_0150"", ""OKQ82024__c_0151""]",no_evidence,standard,No evidence details hazardous waste disposal by incineration methods.,"[""OKQ82024__c_0150"", ""OKQ82024__c_0151""]",all_agree
A023,agreement,OQ2023,phase6,GRI 403: Occupational Health and Safety 2018,403-10,Occupational Health and Safety,a.ii,0,no_evidence,no_evidence,standard,No evidence of recordable cases for employees.,[],no_evidence,standard,No evidence provides the number of recordable work-related ill health cases for employees.,[],no_evidence,standard,No mention of recordable cases for employees in evidence.,[],no_evidence,standard,No evidence provides numbers of recordable work-related ill health cases for employees.,[],all_agree
A024,agreement,OKQ82023,phase6,GRI 305: Emissions 2016,305-4,Emissions,a,0,no_evidence,no_evidence,standard,No evidence explicitly states the GHG emissions intensity ratio value for the organization.,"[""OKQ82023__c_0168""]",no_evidence,standard,No evidence explicitly states the GHG emissions intensity ratio value for the organization.,"[""OKQ82023__c_0168""]",no_evidence,standard,No evidence of GHG emissions intensity ratio calculation or value provided.,[],no_evidence,standard,No evidence of GHG emissions intensity ratio calculation or value provided.,[],all_agree
A025,agreement,OKQ82024,phase6,GRI 305: Emissions 2016,305-4,Emissions,c,0,no_evidence,no_evidence,standard,"No evidence specifies Scope 1, 2, or 3 inclusion in the ratio.",[],no_evidence,standard,"No evidence specifies Scope 1, 2, or 3 inclusion in the ratio.",[],no_evidence,standard,No explicit mention of Scope 1/2/3 categorization in the intensity ratio.,[],no_evidence,standard,No explicit mention of Scope 1/2/3 categorization in the intensity ratio.,[],all_agree
A026,agreement,Bangchak2025,phase6,GRI 306: Waste 2020,306-2,Waste,b.iii,0,no_evidence,no_evidence,standard,No specific total weight of non-hazardous waste composted is reported.,"[""Bangchak2025__c_0245"", ""Bangchak2025__c_0247"", ""Bangchak2025__c_0249"", ""Bangchak2025__c_0250"", ""Bangchak2025__c_0252""]",no_evidence,standard,No composting data for non-hazardous waste. Only landfill reduction and reuse/recycling mentioned.,"[""Bangchak2025__c_0252""]",no_evidence,standard,No explicit data on total non-hazardous waste weight or composting disposal breakdown.,"[""Bangchak2025__c_0245"", ""Bangchak2025__c_0247"", ""Bangchak2025__c_0251"", ""Bangchak2025__c_0252"", ""Bangchak2025__c_0253""]",no_evidence,standard,No explicit data on non-hazardous waste composting quantities.,"[""Bangchak2025__c_0253"", ""Bangchak2025__c_0252"", ""Bangchak2025__c_0247"", ""Bangchak2025__c_0245"", ""Bangchak2025__c_0249""]",all_agree
A027,agreement,Bangchak2024,phase6,GRI 403: Occupational Health and Safety 2018,403-8,Occupational health and safety,b,0,no_evidence,no_evidence,standard,No verdict produced.,[],no_evidence,standard,No verdict produced.,[],no_evidence,standard,No explicit mention of excluded workers or reasons for exclusion in the evidence.,"[""Bangchak2024__c_0222"", ""Bangchak2024__c_0223"", ""Bangchak2024__c_0227"", ""Bangchak2024__c_0229"", ""Bangchak2024__c_0230""]",no_evidence,standard,No evidence of reporting exclusions of workers or reasons for exclusions.,"[""Bangchak2024__c_0223"", ""Bangchak2024__c_0224"", ""Bangchak2024__c_0234"", ""Bangchak2024__c_0227"", ""Bangchak2024__c_0231""]",all_agree
A028,agreement,OQ2023,phase6,GRI 203: Indirect Economic Impacts 2016,203-1,Economic Impact,b,0,partial,partial,standard,"Positive impacts on communities (education, health, environment) are described, but no explicit mention of negative impacts.","[""OQ2023__c_0186"", ""OQ2023__c_0193"", ""OQ2023__c_0194"", ""OQ2023__c_0198"", ""OQ2023__c_0200""]",partial,standard,"Positive impacts (education, health, economy) are described, but no explicit mention of negative impacts.","[""OQ2023__c_0198"", ""OQ2023__c_0197"", ""OQ2023__c_0209"", ""OQ2023__c_0208"", ""OQ2023__c_0196""]",partial,standard,"Positive community impacts (e.g., education, healthcare) are described, but no explicit mention of negative impacts or economic metrics.","[""OQ2023__c_0194"", ""OQ2023__c_0195"", ""OQ2023__c_0197"", ""OQ2023__c_0198"", ""OQ2023__c_0203""]",partial,standard,"Some community impacts (e.g., education, cultural events) are mentioned, but economic impacts are not explicitly detailed.","[""OQ2023__c_0204"", ""OQ2023__c_0197"", ""OQ2023__c_0187"", ""OQ2023__c_0193"", ""OQ2023__c_0209""]",all_agree
A029,agreement,HPCL2024,phase6,GRI 306: Effluents and Waste 2016,306-3,Safety and security of critical assets (GRI OGSS Topic: Asset Integrity and Critical Incident Management),c,0,pass,pass,reported_non_existence,"No significant spills recorded, so no impacts to report.","[""HPCL2024__c_0153""]",pass,reported_non_existence,"No significant spills were recorded, so no impacts exist.","[""HPCL2024__c_0256""]",pass,reported_non_existence,"No spills reported, so no impacts to disclose.","[""HPCL2024__c_0256""]",pass,reported_non_existence,"No spills reported, so no impacts to disclose.","[""HPCL2024__c_0256""]",all_agree
A030,agreement,Mubadala2024,phase6,GRI 403: Occupational Health and Safety 2018,403-5,"Health, Safety & Security of People",a,0,pass,pass,standard,"Evidence explicitly describes HSSE training programs, including hazard identification, emergency response, and job-specific risk mitigation.","[""Mubadala2024__c_0082""]",pass,standard,"Evidence explicitly describes occupational health and safety training, including hazard identification, emergency response, and job-specific risk mitigation.","[""Mubadala2024__c_0082""]",pass,standard,"The report explicitly describes occupational health and safety training programs, including 7,200+ hours of HSSE training covering hazard identification, emergency response, and job-specific risk mitigation.","[""Mubadala2024__c_0082""]",pass,standard,"Explicit description of occupational health and safety training programs, including hours delivered and topics covered.","[""Mubadala2024__c_0082""]",all_agree
